ID,Name,State,Type,Parent,StartedDate,ClosedDate,Tags
ORI-111,Crew Capsule Thermal Protection System,Done,Epic,,{-85},{-70}, 
ORI-112,Long-Duration Life Support System,Done,Epic,,{-78},{-63}, 
ORI-113,Interplanetary Propulsion Testbed,Done,Epic,,{-72},{-55}, 
ORI-114,Space Debris Mitigation Protocols,Done,Epic,,{-65},{-47}, 
ORI-115,Planetary Lander Prototype,Done,Epic,,{-58},{-40}, 
ORI-116,AI-Based Trajectory Optimization,Done,Epic,,{-50},{-33}, 
ORI-117,Deep Space Signal Relay Station,Done,Epic,,{-43},{-25}, 
ORI-119,Mars Surface Habitat Testing,Analysing,Epic,,{-15},, 
ORI-101,Orbital Debris Tracking System,Backlog,Epic,,,, 
ORI-118,Next-Gen EVA Suits,Implementation,Epic,,{-20},, 
ORI-107,AI Mission Control Assistant,Backlog,Epic,,,, 
ORI-102,Autonomous Docking Algorithms,Backlog,Epic,,,, 
ORI-103,Lunar Surface Habitation Blueprint,Backlog,Epic,,,, 
ORI-120,High-Efficiency Solar Arrays,Verification,Epic,,{-10},, 
ORI-104,Deep Space Navigation Enhancements,Backlog,Epic,,,, 
ORI-105,Radiation Shielding Materials Research,Backlog,Epic,,,, 
ORI-106,Quantum Communication Prototype,Backlog,Epic,,,, 
ORI-108,Solar Flare Early Warning Network,Backlog,Epic,,,, 
ORI-109,Cryogenic Fuel Storage Design,Backlog,Epic,,,, 
ORI-110,Zero-Gravity Manufacturing Platform,Backlog,Epic,,,, 
