ID,Name,State,Type,Parent,StartedDate,ClosedDate,Tags
GR-001,User authentication system,Done,User Story,,{-34},{-27},
GR-002,Fix login timeout issue,Done,Bug,,{-29},{-28},
GR-003,Dashboard performance optimization,Done,User Story,,{-28},{-18},
GR-004,Payment gateway integration,Done,User Story,,{-27},{-15},
GR-005,Error handling for API failures,Done,Bug,,{-29},{-25},
GR-007,Email notification system,Done,User Story,,{-24},{-9},
GR-008,Fix memory leak in background process,Done,Bug,,{-23},{-22},
GR-009,Search functionality enhancement,Done,User Story,,{-31},{-8},
GR-010,Mobile responsive design updates,Done,User Story,,{-21},{-6},
GR-011,Database query optimization,Done,Bug,,{-20},{-19},
GR-014,Fix session management bug,Done,Bug,,{-38},{-16},
GR-015,Report generation feature,Done,User Story,,{-16},{-1},
GR-016,User settings customization,Done,User Story,,{-15},{-2},
GR-017,API rate limiting implementation,Done,Bug,,{-14},{-13},
GR-019,Data export functionality,Done,User Story,,{-12},{-5},
GR-020,Fix timezone display issue,Done,Bug,,{-11},{-10},
GR-021,Advanced filtering options,Done,User Story,,{-15},{-10},
GR-022,Notification preferences,Done,User Story,,{-14},{-9},
GR-024,User onboarding flow,Done,User Story,,{-35},{-13},
GR-028,Security audit fixes,Done,Bug,,{-3},{-2},
GR-029,Real-time collaboration features,Done,User Story,,{-17},{-16},
GR-030,Custom widget builder,Verification,User Story,,{-28},,Blocked
GR-033,Predictive maintenance alerts,Verification,User Story,,{-22},,Blocked
GR-034,Real-time notifications,Verification,User Story,,{-20},,Blocked
GR-035,Advanced user preferences,Implementation,User Story,,{-18},,Blocked
GR-037,Custom field definitions,Verification,User Story,,{-14},,Blocked
GR-038,Workflow template library,Verification,User Story,,{-12},,Blocked
GR-039,Advanced permission matrix,Implementation,User Story,,{-10},,Blocked
GR-040,Performance optimization,Implementation,Bug,,{-8},,
GR-041,Memory usage improvements,Verification,Bug,,{-7},,
GR-042,Database connection pooling,Implementation,Bug,,{-6},,
GR-043,API response caching,Implementation,Bug,,{-5},,
GR-045,Input validation fixes,Verification,Bug,,{-3},,
GR-047,Mobile navigation menu,Implementation,User Story,,{-8},,
GR-049,System health monitoring,Implementation,User Story,,{-6},,
GR-051,Advanced reporting module,Analyzing,User Story,,{-4},,
GR-052,Real-time chat integration,Analyzing,User Story,,{-3},,
GR-053,Document collaboration,Analyzing,User Story,,{-3},,
GR-054,Workflow designer,Analyzing,User Story,,{-2},,
GR-055,API versioning system,Analyzing,User Story,,{-2},,
GR-056,Automated deployment,Analyzing,User Story,,{-1},,
GR-057,Security scanner integration,Analyzing,Bug,,{-1},,
GR-058,User activity tracking,Next,User Story,,{0},,
GR-059,Advanced search filters,Next,User Story,,{-3},,
GR-063,Activity timeline view,Analysing,User Story,,{0},,
GR-064,Advanced search operators,Analysing,User Story,,{-10},,Blocked
GR-066,Automated report distribution,Analysing,User Story,,{-1},,
GR-067,User preference profiles,Verification,User Story,,{-1},,
GR-068,Multi-factor authentication,Implementation,User Story,,{0},,
GR-073,Configuration management,Backlog,User Story,,,,
GR-074,Load testing framework,Backlog,Bug,,,,
GR-075,Error tracking improvements,Backlog,User Story,,,,
GR-076,Custom reporting engine,Backlog,User Story,,,,
GR-077,Integration test suite,Backlog,User Story,,,,
GR-078,Monitoring dashboard updates,Backlog,User Story,,,,
GR-079,User role management,Backlog,User Story,,,,
GR-080,File versioning system,Backlog,User Story,,,,
GR-081,Audit trail functionality,Backlog,User Story,,,,
GR-082,Workflow automation tools,Backlog,User Story,,,,
GR-083,Data retention policies,Backlog,User Story,,,,
GR-084,Custom field definitions v2,Backlog,User Story,,,,
GR-085,Advanced permission matrix v2,Backlog,User Story,,,,
OE-001-001,Acquire sonar mapping equipment,Backlog,User Story,OE-001,,,
OE-001-002,Train dive team on deep sea protocols,Backlog,User Story,OE-001,,,
OE-001-003,Design bathymetric survey grid,Backlog,User Story,OE-001,,,
OE-001-004,Deploy underwater mapping drones,Backlog,User Story,OE-001,,,
OE-002-008,Transplant coral fragments,Backlog,User Story,OE-002,,,
OE-002-009,Document growth progress,Backlog,User Story,OE-002,,,
OE-002-010,Establish protection zones,Backlog,User Story,OE-002,,,
OE-002-011,Create maintenance schedule,Backlog,User Story,OE-002,,,
OE-003-001,Design animal tracking tags,Backlog,User Story,OE-003,,,
OE-003-002,Develop satellite communication protocol,Backlog,User Story,OE-003,,,
OE-003-003,Create species identification database,Backlog,User Story,OE-003,,,
OE-003-004,Build tag deployment equipment,Backlog,User Story,OE-003,,,
OE-003-005,Train marine biologists on tagging,Backlog,User Story,OE-003,,,
OE-003-006,Capture and tag target species,Backlog,User Story,OE-003,,,
OE-003-007,Monitor real-time location data,Backlog,User Story,OE-003,,,
OE-003-008,Analyze migration patterns,Backlog,User Story,OE-003,,,
OE-003-009,Generate behavioral reports,Backlog,User Story,OE-003,,,
OE-003-010,Share data with research partners,Backlog,User Story,OE-003,,,
OE-007-001,Survey existing kelp forest locations,Backlog,User Story,OE-007,,,
OE-007-002,Assess ecosystem health indicators,Backlog,User Story,OE-007,,,
OE-007-003,Identify threats to kelp forests,Backlog,User Story,OE-007,,,
OE-007-004,Develop kelp cultivation techniques,Backlog,User Story,OE-007,,,
OE-008-007,Create 3D geological models,Backlog,User Story,OE-008,,,
OE-008-008,Estimate resource quantities,Backlog,User Story,OE-008,,,
OE-008-009,Prepare regulatory compliance reports,Backlog,User Story,OE-008,,,
OE-008-010,Partner with extraction companies,Backlog,User Story,OE-008,,,
OE-009-001,Design database schema architecture,Backlog,User Story,OE-009,,,
OE-009-002,Build species classification system,Backlog,User Story,OE-009,,,
OE-009-003,Create habitat mapping interface,Backlog,User Story,OE-009,,,
OE-009-004,Integrate environmental data feeds,Backlog,User Story,OE-009,,,
OE-009-005,Develop search and query tools,Backlog,User Story,OE-009,,,
OE-009-006,Import historical research data,Backlog,User Story,OE-009,,,
OE-009-007,Create data visualization dashboards,Backlog,User Story,OE-009,,,
OE-009-008,Establish data sharing protocols,Backlog,User Story,OE-009,,,
OE-009-009,Build mobile field data collection app,Backlog,User Story,OE-009,,,
OE-009-010,Train researchers on system usage,Backlog,User Story,OE-009,,,
OE-009-011,Launch public access portal,Backlog,User Story,OE-009,,,
OE-009-012,Implement data backup systems,Backlog,User Story,OE-009,,,
