ID,Name,State,Type,Parent,StartedDate,ClosedDate,Tags,StateEnteredDate
TZ-001,User authentication system,Done,User Story,AP-001,{w-145},{w-132},,
TZ-002,Fix login timeout issue,Done,Bug,AP-001,{w-134},{w-132},,
TZ-003,Dashboard performance optimization,Done,User Story,AP-001,{w-136},{w-132},,
TZ-004,Payment gateway integration,Done,User Story,AP-001,{w-138},{w-131},,
TZ-005,Error handling for API failures,Done,Bug,AP-001,{w-132},{w-130},,
TZ-006,User profile management,Done,User Story,AP-001,{w-136},{w-129},,
TZ-007,Email notification system,Done,User Story,AP-001,{w-131},{w-129},,
TZ-008,Fix memory leak in background process,Done,Bug,AP-002,{w-142},{w-129},,
TZ-009,Search functionality enhancement,Done,User Story,AP-002,{w-139},{w-129},,
TZ-010,Mobile responsive design updates,Done,User Story,AP-002,{w-141},{w-128},,
TZ-011,Database query optimization,Done,Bug,AP-002,{w-141},{w-128},,
TZ-012,Two-factor authentication,Done,User Story,AP-002,{w-128},{w-127},,
TZ-013,File upload validation,Done,User Story,AP-002,{w-134},{w-127},,
TZ-014,Fix session management bug,Done,Bug,AP-002,{w-128},{w-126},,
TZ-015,Report generation feature,Done,User Story,AP-002,{w-130},{w-126},,
TZ-016,User settings customization,Done,User Story,AP-002,{w-130},{w-125},,
TZ-017,API rate limiting implementation,Done,Bug,AP-002,{w-127},{w-124},,
TZ-018,Social media integration,Done,User Story,AP-002,{w-124},{w-123},,
TZ-019,Data export functionality,Done,User Story,AP-002,{w-132},{w-122},,
TZ-020,Fix timezone display issue,Done,Bug,AP-002,{w-125},{w-121},,
TZ-021,Advanced filtering options,Done,User Story,AP-002,{w-123},{w-120},,
TZ-022,Notification preferences,Done,User Story,AP-002,{w-122},{w-120},,
TZ-023,Performance monitoring setup,Done,Bug,AP-002,{w-133},{w-120},,
TZ-024,User onboarding flow,Done,User Story,AP-002,{w-123},{w-120},,
TZ-025,Fix drag and drop functionality,Done,Bug,AP-002,{w-121},{w-119},,
TZ-026,Data visualization components,Done,User Story,AP-002,{w-120},{w-119},,
TZ-027,Automated backup system,Done,User Story,AP-002,{w-120},{w-118},,
TZ-028,Security audit fixes,Done,Bug,AP-003,{w-125},{w-117},,
TZ-029,Real-time collaboration features,Done,User Story,AP-003,{w-125},{w-117},,
TZ-030,Fix chart rendering issue,Done,Bug,AP-003,{w-117},{w-115},,
TZ-031,Advanced user permissions,Done,User Story,AP-003,{w-119},{w-114},,
TZ-032,Mobile app push notifications,Done,User Story,AP-003,{w-118},{w-113},,
TZ-033,Fix data synchronization bug,Done,Bug,AP-003,{w-119},{w-113},,
TZ-034,Admin dashboard enhancements,Done,User Story,AP-003,{w-114},{w-112},,
TZ-035,Bulk operations interface,Done,User Story,AP-003,{w-118},{w-111},,
TZ-036,Fix email template rendering,Done,Bug,AP-003,{w-116},{w-111},,
TZ-037,Third-party API integration,Done,User Story,AP-003,{w-121},{w-111},,
TZ-038,Performance testing suite,Done,User Story,,{w-123},{w-110},,
TZ-039,Accessibility improvements,Waiting for Verification,User Story,,{-5},,,{-6}
TZ-040,Database migration tools,Implementation,User Story,,{-3},,Blocked,{-12}
TZ-300,Hotfix triage for login regression,Analysing,User Story,AP-001,{-0},,,{-0}
TZ-041,Telemetry data ingestion pipeline,Done,User Story,ALT-91,{w-114},{w-110},,
TZ-042,Real-time sensor monitoring UI,Done,User Story,ALT-91,{w-111},{w-110},,
TZ-043,Spacecraft health metrics dashboard,Done,User Story,ALT-91,{w-114},{w-109},,
TZ-044,Telemetry data validation layer,Done,User Story,ALT-91,{w-111},{w-109},,
TZ-045,Historical telemetry archive system,Done,User Story,ALT-91,{w-110},{w-107},,
TZ-046,Anomaly detection alerting,Done,User Story,ALT-91,{w-112},{w-105},,
TZ-047,Telemetry API endpoints,Done,User Story,ALT-91,{w-106},{w-104},,
TZ-048,Data visualization components,Done,User Story,ALT-91,{w-106},{w-104},,
TZ-049,Performance optimization for charts,Done,User Story,ALT-91,{w-105},{w-104},,
TZ-050,Telemetry export functionality,Done,User Story,ALT-91,{w-104},{w-101},,
TZ-051,Multi-spacecraft support,Done,User Story,ALT-91,{w-102},{w-101},,
TZ-052,Custom dashboard layouts,Done,User Story,ALT-91,{w-104},{w-101},,
TZ-053,Telemetry data compression,Done,User Story,ALT-91,{w-105},{w-97},,
TZ-054,Real-time alert notifications,Done,User Story,ALT-91,{w-97},{w-96},,
TZ-055,Dashboard mobile responsiveness,Done,User Story,ALT-91,{w-97},{w-96},,
TZ-056,Telemetry data retention policies,Done,User Story,ALT-91,{w-98},{w-95},,
TZ-057,Final dashboard integration testing,Done,User Story,ALT-91,{w-99},{w-95},,
TZ-058,Escape pod structural design review,Done,User Story,ALT-92,{w-97},{w-95},,
TZ-059,Emergency ejection mechanism testing,Done,User Story,ALT-92,{w-104},{w-94},,
TZ-060,Life support integration validation,Done,User Story,ALT-92,{w-97},{w-94},,
TZ-061,Certification documentation finalization,Done,User Story,ALT-92,{w-97},{w-94},,
TZ-062,Network topology design,Done,User Story,ALT-93,{w-100},{w-94},,
TZ-063,Primary communication link setup,Done,User Story,ALT-93,{w-94},{w-93},,
TZ-064,Secondary backup channel config,Done,User Story,ALT-93,{w-102},{w-92},,
TZ-065,Automatic failover mechanism,Done,User Story,ALT-93,{w-92},{w-91},,
TZ-066,Network health monitoring dashboard,Done,User Story,ALT-93,{w-91},{w-90},,
TZ-067,Signal strength optimization,Done,User Story,ALT-93,{w-94},{w-90},,
TZ-068,Redundancy testing suite,Done,User Story,ALT-93,{w-96},{w-89},,
TZ-069,Load balancing implementation,Done,User Story,ALT-93,{w-90},{w-89},,
TZ-070,Network latency reduction,Done,User Story,ALT-93,{w-90},{w-89},,
TZ-071,Emergency communication protocol,Done,User Story,ALT-93,{w-95},{w-89},,
TZ-072,Satellite handoff automation,Done,User Story,ALT-93,{w-91},{w-88},,
TZ-073,Connection retry logic,Done,User Story,ALT-93,{w-91},{w-88},,
TZ-074,Network security hardening,Done,User Story,ALT-93,{w-88},{w-87},,
TZ-075,Bandwidth optimization,Done,User Story,ALT-93,{w-89},{w-87},,
TZ-076,Multi-path routing implementation,Done,User Story,ALT-93,{w-91},{w-86},,
TZ-077,Network diagnostics tools,Done,User Story,ALT-93,{w-87},{w-85},,
TZ-078,Redundancy protocol documentation,Done,User Story,ALT-93,{w-86},{w-84},,
TZ-079,Final network stress testing,Done,User Story,ALT-93,{w-87},{w-84},,
TZ-080,Redundancy certification approval,Done,User Story,ALT-93,{w-87},{w-84},,
TZ-081,Physics engine foundation,Done,User Story,ALT-94,{w-93},{w-83},,
TZ-082,Gravitational force calculations,Done,User Story,ALT-94,{w-89},{w-83},,
TZ-083,Orbital trajectory modeling,Done,User Story,ALT-94,{w-83},{w-82},,
TZ-084,3D visualization rendering,Done,User Story,ALT-94,{w-90},{w-82},,
TZ-085,Time acceleration controls,Done,User Story,ALT-94,{w-88},{w-82},,
TZ-086,Multi-body problem solver,Done,User Story,ALT-94,{w-86},{w-81},,
TZ-087,Spacecraft dynamics integration,Done,User Story,ALT-94,{w-82},{w-80},,
TZ-088,Collision detection system,Done,User Story,ALT-94,{w-81},{w-79},,
TZ-089,Maneuver planning interface,Done,User Story,ALT-94,{w-79},{w-78},,
TZ-090,Delta-V calculator,Done,User Story,ALT-94,{w-80},{w-78},,
TZ-091,Simulation save/load functionality,Done,User Story,ALT-94,{w-82},{w-78},,
TZ-092,Performance optimization,Done,User Story,ALT-94,{w-79},{w-78},,
TZ-093,User tutorial system,Done,User Story,ALT-94,{w-80},{w-77},,
TZ-094,Scenario template library,Done,User Story,ALT-94,{w-79},{w-77},,
TZ-095,Export simulation data,Done,User Story,ALT-94,{w-77},{w-74},,
TZ-096,Final acceptance testing,Done,User Story,ALT-94,{w-80},{w-74},,
TZ-097,Biometric sensor integration,Done,User Story,ALT-95,{w-74},{w-73},,
TZ-098,Heart rate monitoring module,Done,User Story,ALT-95,{w-82},{w-72},,
TZ-099,Blood pressure tracking,Done,User Story,ALT-95,{w-76},{w-71},,
TZ-100,Oxygen saturation sensors,Done,User Story,ALT-95,{w-74},{w-70},,
TZ-101,Temperature monitoring system,Done,User Story,ALT-95,{w-79},{w-69},,
TZ-102,Sleep pattern analysis,Done,User Story,ALT-95,{w-71},{w-69},,
TZ-103,Exercise activity tracking,Done,User Story,ALT-95,{w-73},{w-69},,
TZ-104,Nutrition intake logging,Done,User Story,ALT-95,{w-70},{w-69},,
TZ-105,Hydration level monitoring,Done,User Story,ALT-95,{w-78},{w-68},,
TZ-106,Stress level indicators,Done,User Story,ALT-95,{w-81},{w-68},,
